Date : 2025-06-26 19:26:32
Directory : c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework
Total : 108 files,  6849 codes, 207 comments, 892 blanks, all 7948 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        105 |      6,404 |        198 |        888 |      7,490 |
| XML      |          1 |        427 |          7 |          0 |        434 |
| PostCSS  |          1 |         13 |          2 |          4 |         19 |
| JSON     |          1 |          5 |          0 |          0 |          5 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Cart\CartDto.cs                                                | C#       |         16 |          0 |          3 |         19 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Cart\CartItemDto.cs                                            | C#       |         17 |          0 |          7 |         24 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\AccountRelated\AdminCreateUserDto.cs                | C#       |         13 |          0 |          1 |         14 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\AccountRelated\UpdateUserRoleDto.cs                 | C#       |         12 |          0 |          1 |         13 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardDto.cs                    | C#       |         18 |          0 |          1 |         19 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardLowStockProductsDto.cs    | C#       |         11 |          0 |          1 |         12 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardMostVisitedProductsDto.cs | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardOrderSummaryDto.cs        | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardProductsOverviewDto.cs    | C#       |         13 |          0 |          1 |         14 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardSalesDto.cs               | C#       |         13 |          0 |          1 |         14 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardTopCartedProductsDto.cs   | C#       |         11 |          0 |          1 |         12 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardTopSellingBrandsDto.cs    | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\DashboardTopSellingProductDto.cs   | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\LowStockProductDto.cs              | C#       |         12 |          0 |          1 |         13 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\MostVisitedProductDto.cs           | C#       |         12 |          0 |          1 |         13 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\OrderCountDto.cs                   | C#       |         13 |          0 |          1 |         14 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TopCartedProductDto.cs             | C#       |         12 |          0 |          1 |         13 |
