"filename", "language", "C#", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\MostVisitedProductDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\OrderCountDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TopCartedProductDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TopSellingBrandDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TopSellingProductDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\DashboardRelated\TotalSalesSummaryDto.cs", "C#", 14, 0, 0, 0, 0, 1, 15
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\OrderRelated\OrderPageResultDto.cs", "C#", 14, 0, 0, 0, 0, 3, 17
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\OrderRelated\UpdateOrderStatusDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\AdminFilterDto.cs", "C#", 15, 0, 0, 0, 0, 1, 16
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\AdminProductCardDto.cs", "C#", 26, 0, 0, 0, 0, 3, 29
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\AdminProductReviewDto.cs", "C#", 16, 0, 0, 0, 0, 1, 17
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\BrandDto.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateBrandDto.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateFilterAttributeDto.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateFilterAttributeValueDto.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\CreateProductDto.cs", "C#", 44, 0, 0, 0, 0, 16, 60
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\UnansweredQuestionDto.cs", "C#", 16, 0, 0, 0, 0, 2, 18
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Management\ProductRelated\UpdateProductDto.cs", "C#", 40, 0, 0, 0, 0, 13, 53
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\CreateOrderDto.cs", "C#", 17, 0, 0, 0, 0, 3, 20
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\OrderCardDto.cs", "C#", 17, 0, 0, 0, 0, 6, 23
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\OrderDto.cs", "C#", 19, 0, 0, 0, 0, 8, 27
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Order\OrderItemDto.cs", "C#", 16, 0, 0, 0, 0, 1, 17
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\ProductList\PaginationDataDto.cs", "C#", 16, 0, 0, 0, 0, 1, 17
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\ProductList\ProductCardDto.cs", "C#", 18, 0, 0, 0, 0, 1, 19
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\ProductList\ProductCardPageResult.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Dtos\Product\ProductDto.cs", "C#", 91, 0, 0, 0, 7, 12, 110
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\CloudinarySettings.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\HelperMethods.cs", "C#", 20, 0, 0, 0, 1, 5, 26
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\IdentityExtensions.cs", "C#", 19, 0, 0, 0, 0, 3, 22
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\MultipartFormDataHelper.cs", "C#", 155, 0, 0, 0, 0, 20, 175
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Extensions\ProductQueryHelper.cs", "C#", 137, 0, 0, 0, 0, 26, 163
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Filters\GlobalExceptionFilter.cs", "C#", 32, 0, 0, 0, 0, 5, 37
"c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Global.asax.cs", "C#", 16, 0, 0, 0, 3, 4, 23
